L,t,U,N_bosons,N_max,GndEigenval,FirstExcitedEigenval,Entropy
10,0.0,1,10,3,1.3884889645663116e-11,1.0000000000014648,"[ 1.86264470e-09  1.37012175e-09 -4.44089210e-16 -8.88178420e-16
 -8.88178420e-16 -8.87738563e-16  1.56966880e-10  5.03922137e-11
  4.36137989e-11]"
10,0.1,1,10,3,-0.3549753809670812,0.1892513263938024,"[0.19074837 0.20236243 0.20405432 0.2043766  0.20443098 0.20437663
 0.20405428 0.20236246 0.1907485 ]"
10,0.2,1,10,3,-1.349845631625631,-1.0379165352442532,"[0.5023444  0.57802928 0.6064742  0.61924143 0.62300073 0.61924156
 0.6064744  0.57802963 0.50234458]"
10,0.3,1,10,3,-2.7556922734163334,-2.493139382951964,"[0.73128517 0.85625298 0.90595052 0.93005416 0.93745916 0.9300543
 0.90595081 0.85625333 0.73128542]"
10,0.4,1,10,3,-4.340917330168592,-4.062940093675858,"[0.83826145 0.98517175 1.03710323 1.06189462 1.06953539 1.0618947
 1.03710338 0.98517193 0.83826156]"
10,0.5,1,10,3,-6.006246881901383,-5.695286811605712,"[0.88373012 1.05137198 1.10326237 1.12727989 1.13469689 1.12727996
 1.10326249 1.05137211 0.88373021]"
10,0.6,1,10,3,-7.714702171266268,-7.365236197477941,"[0.90200759 1.0918595  1.14400117 1.16721991 1.17440897 1.16721997
 1.14400127 1.09185962 0.90200764]"
10,0.7,1,10,3,-9.449433398279194,-9.059496617182068,"[0.90774638 1.11967805 1.1723658  1.19485456 1.20184172 1.1948546
 1.17236586 1.11967812 0.90774641]"
10,0.8,1,10,3,-11.201481247455655,-10.770347383282784,"[0.90749328 1.14023207 1.19362412 1.21544185 1.2222492  1.21544187
 1.19362414 1.1402321  0.9074933 ]"
10,0.9,1,10,3,-12.96558441560818,-12.493003547028568,"[0.90435679 1.15615063 1.21032356 1.23152221 1.23816828 1.23152221
 1.21032357 1.15615065 0.9043568 ]"
10,1.0,1,10,3,-14.738432008734474,-14.224346906146703,"[0.89988469 1.1688851  1.22387153 1.24449988 1.25100102 1.24449988
 1.22387154 1.16888511 0.8998847 ]"
10,1.1,1,10,3,-16.51783006978523,-15.962261751794228,"[0.89487311 1.1793166  1.23512436 1.25522876 1.26159966 1.25522877
 1.23512437 1.17931661 0.89487311]"
10,1.2,1,10,3,-18.302264737363057,-17.70526391244044,"[0.88973829 1.188019   1.24464104 1.26426506 1.27051887 1.26426506
 1.24464105 1.18801901 0.8897383 ]"
10,1.3,1,10,3,-20.09065661741283,-19.452282583980487,"[0.88469732 1.19538614 1.25280613 1.27199012 1.2781386  1.27199012
 1.25280613 1.19538614 0.88469732]"
10,1.4,1,10,3,-21.882214870316737,-21.20252641861209,"[0.87985979 1.20169918 1.25989492 1.27867586 1.28472943 1.27867586
 1.25989493 1.20169918 0.87985979]"
10,1.5,1,10,3,-23.676346590737506,-22.95539831124613,"[0.87527633 1.20716511 1.26611083 1.2845223  1.29049017 1.28452229
 1.26611084 1.2071651  0.87527633]"
10,1.6,1,10,3,-25.47259840799206,-24.71043946465442,"[0.87096494 1.21194005 1.27160797 1.2896803  1.29557062 1.2896803
 1.27160799 1.21194005 0.87096493]"
10,1.7,1,10,3,-27.27061765441788,-26.46729166767543,"[0.86692568 1.21614421 1.2765056  1.29426611 1.30008606 1.29426611
 1.27650561 1.2161442  0.86692568]"
10,1.8,1,10,3,-29.07012584013376,-28.22567124360985,"[0.86314903 1.21987165 1.28089758 1.29837085 1.30412677 1.29837085
 1.28089759 1.21987164 0.86314903]"
10,1.9,1,10,3,-30.87090010429157,-29.985350674383685,"[0.85962063 1.22319707 1.28485894 1.30206707 1.30776456 1.30206707
 1.28485895 1.22319706 0.85962063]"
10,2.0,1,10,3,-32.6727599736667,-31.74614539218769,"[0.85632403 1.22618053 1.28845042 1.30541331 1.31105734 1.30541331
 1.28845043 1.22618053 0.85632402]"
